Codigo,Nombre,Tipo,Cantidad,Precio,Minimo,ValorTotal,Año,Mes,Dia
P-0075,Tablet Dell X,Electrónico,17,1689000,7,28713000,2001,Enero,31
P-0076,Router WiFi Cisco Mini,Red,4,770000,5,3080000,2021,Septiembre,21
P-0077,Laptop MSI Slim,Electrónico,59,3705000,12,218595000,2007,Mayo,23
P-0078,Mochila Laptop Cable Matters Basic,Accesorio,0,306000,8,0,2024,Diciembre,22
P-0079,Base Laptop Ugreen X,Accesorio,58,135000,12,7830000,2009,Marzo,13
P-0080,Licencia Adobe CC Autodesk SE,Software,37,1200000,12,44400000,2002,Noviembre,5
P-0081,Cable HDMI Ugreen SE,Accesorio,17,34000,5,578000,2007,Agosto,20
P-0082,Hub USB-C Cable Matters Slim,Accesorio,36,184000,11,6624000,2003,Febrero,23
P-0083,UPS 1200VA APC Ultra,Energía,23,773000,5,17779000,2012,Enero,31
P-0084,Regleta Eléctrica Cable Matters Max,Accesorio,22,94000,9,2068000,2008,Octubre,3
P-0085,Patch Panel Zyxel HD,Red,0,206000,12,0,2014,Mayo,10
P-0086,Patch Panel Mikrotik Plus,Red,4,240000,12,960000,2020,Agosto,18
P-0087,Auriculares HP Pro,Electrónico,13,651000,9,8463000,2026,Agosto,13
P-0088,Switch 24 puertos Tenda Slim,Red,7,1939000,11,13573000,2011,Agosto,21
P-0089,Cable UTP Cat6 Tenda Basic,Red,60,12000,12,720000,2005,Junio,26
P-0090,Licencia Antivirus Bitdefender Slim,Software,25,174000,14,4350000,2011,Marzo,11
P-0091,DVR 8 Canales Hanwha SE,Seguridad,3,1531000,2,4593000,2011,Enero,27
P-0092,Switch 24 puertos Netgear HD,Red,47,1601000,12,75247000,2006,Mayo,5
P-0093,Regleta Eléctrica Ugreen HD,Accesorio,43,91000,11,3913000,2021,Agosto,22
P-0094,Router WiFi Zyxel Slim,Red,41,342000,13,14022000,2008,Febrero,23
P-0095,Impresora 3D Kyocera Basic,Impresión,22,6723000,6,147906000,2022,Febrero,27
P-0096,Cable UTP Cat6 D-Link Ultra,Red,6,22000,3,132000,2021,Julio,31
P-0097,Tóner HP Canon Max,Impresión,0,313000,10,0,2020,Agosto,24
P-0098,Auriculares Asus Mini,Electrónico,7,462000,13,3234000,2002,Febrero,22
P-0099,SSD NVMe SanDisk SE,Almacenamiento,0,757000,8,0,2019,Octubre,30
P-0100,Sensor Movimiento Honeywell Mini,Seguridad,0,234000,13,0,2020,Noviembre,17
P-0101,Licencia AutoCAD Bitdefender X,Software,0,2800000,9,0,2005,Noviembre,3
P-0102,Memoria RAM Crucial HD,Almacenamiento,68,579000,15,39372000,2017,Enero,21
P-0103,SSD NVMe PNY V3,Almacenamiento,28,839000,14,23492000,2023,Marzo,22
P-0104,Cable UTP Cat6 D-Link Ultra,Red,0,21000,9,0,2007,Marzo,14
P-0105,Disco HDD Toshiba V3,Almacenamiento,23,234000,15,5382000,2005,Octubre,17
P-0106,Silla Ergonómica ErgoChair Pro,Mobiliario,12,1256000,11,15072000,2014,Mayo,12
P-0107,Proyector LG Elite,Electrónico,0,5582000,4,0,2012,Febrero,1
P-0108,Tarjeta SD SanDisk Basic,Almacenamiento,4,146000,7,584000,2008,Abril,12
P-0109,Tóner HP Kyocera 4K,Impresión,21,192000,6,4032000,2020,Febrero,10
P-0110,Monitor MSI Pro,Electrónico,25,1316000,5,32900000,2022,Septiembre,6
P-0111,Tablet HP Basic,Electrónico,0,1208000,15,0,2017,Julio,31
P-0112,Auriculares Asus Elite,Electrónico,0,1119000,12,0,2007,Octubre,7
P-0113,Scanner Microsoft V3,Periférico,52,612000,14,31824000,2021,Octubre,11
P-0114,Regleta Eléctrica Cable Matters V3,Accesorio,33,49000,14,1617000,2010,Octubre,31
P-0115,Cámara Web Havit Pro,Periférico,35,279000,11,9765000,2026,Abril,25
P-0116,NAS Server Kingston Plus,Almacenamiento,28,3625000,13,101500000,2024,Septiembre,16
P-0117,Cámara Web SteelSeries 4K,Periférico,64,181000,14,11584000,2024,Julio,7
P-0118,Tablet Samsung SE,Electrónico,44,1677000,12,73788000,2001,Agosto,8
P-0119,Soporte Monitor Ugreen Pro,Accesorio,42,182000,15,7644000,2007,Agosto,5
P-0120,Memoria USB Lexar V3,Almacenamiento,5,44000,8,220000,2026,Mayo,5
P-0121,Soporte Monitor Ugreen X,Accesorio,41,212000,14,8692000,2001,Octubre,3
P-0122,Control de Acceso Hanwha X,Seguridad,33,929000,7,30657000,2025,Julio,10
P-0123,Mini PC Dell Ultra,Electrónico,8,2655000,9,21240000,2010,Mayo,28
P-0124,UPS 2000VA Eaton V2,Energía,0,1556000,7,0,2012,Octubre,26
P-0125,Licencia Office 365 Autodesk Elite,Software,13,350000,5,4550000,2008,Octubre,4
P-0126,Disco HDD Crucial Slim,Almacenamiento,48,455000,13,21840000,2002,Enero,17
P-0127,Laptop MSI Basic,Electrónico,20,1850000,5,37000000,2006,Octubre,25
P-0128,UPS 1200VA CyberPower V3,Energía,40,967000,12,38680000,2018,Diciembre,18
P-0129,Cámara IP Hikvision Plus,Seguridad,12,581000,5,6972000,2022,Febrero,27
P-0130,Papel Fotográfico A4 Cable Matters X,Accesorio,31,41000,9,1271000,2010,Abril,24
P-0131,Router WiFi Mikrotik Max,Red,5,899000,9,4495000,2006,Noviembre,29
P-0132,Impresora Láser HP V3,Impresión,0,1488000,7,0,2020,Abril,17
P-0133,Firewall Hanwha Elite,Seguridad,13,3369000,5,43797000,2015,Mayo,2
P-0134,Adaptador USB-C HDMI Vention HD,Accesorio,2,102000,11,204000,2012,Noviembre,22
P-0135,Sensor Movimiento Dahua Ultra,Seguridad,1,143000,7,143000,2020,Febrero,11
P-0136,Cable DisplayPort Vention Elite,Accesorio,10,57000,2,570000,2014,Marzo,29
P-0137,Cartucho Epson Xerox Elite,Impresión,12,170000,3,2040000,2004,Abril,25
P-0138,Cartucho Epson Brother Lite,Impresión,1,157000,7,157000,2008,Marzo,20
P-0139,Impresora 3D Kyocera Lite,Impresión,0,2434000,15,0,2004,Septiembre,5
P-0140,Cable UTP Cat6 Cisco X,Red,0,28000,12,0,2007,Febrero,20
P-0141,Auriculares Toshiba Ultra,Electrónico,0,324000,5,0,2023,Marzo,13
P-0142,Funda Tablet Orico X,Accesorio,42,102000,14,4284000,2017,Enero,5
P-0143,Servidor Rack 1U Apple Ultra,Electrónico,5,15142000,8,75710000,2017,Julio,6
P-0144,Smartphone Toshiba V3,Electrónico,4,1306000,14,5224000,2008,Agosto,6
P-0145,Impresora 3D Xerox Plus,Impresión,1,2786000,5,2786000,2023,Diciembre,27
P-0146,Micrófono USB Logitech Mini,Periférico,31,410000,13,12710000,2018,Octubre,23
P-0147,Tablet Asus Ultra,Electrónico,17,1379000,13,23443000,2013,Agosto,25
P-0148,Hub USB-C Anker Slim,Accesorio,51,230000,14,11730000,2018,Mayo,20
P-0149,Base Laptop AmazonBasics Slim,Accesorio,0,105000,8,0,2012,Enero,26
P-0150,Impresora Láser Xerox Elite,Impresión,0,1788000,15,0,2011,Abril,29
P-0151,Smartphone Lenovo HD,Electrónico,47,2159000,11,101473000,2007,Mayo,6
P-0152,Servidor Rack 1U Acer Lite,Electrónico,34,7537000,9,256258000,2004,Diciembre,24
P-0153,Tóner HP Lexmark SE,Impresión,0,211000,9,0,2016,Mayo,15
P-0154,Tablet LG V3,Electrónico,2,1460000,11,2920000,2015,Diciembre,2
P-0155,Impresora Láser Xerox 4K,Impresión,31,784000,14,24304000,2002,Agosto,14
P-0156,UPS 2000VA APC HD,Energía,37,1138000,9,42106000,2024,Febrero,12
P-0157,Servidor Rack 1U Acer Elite,Electrónico,39,15090000,8,588510000,2001,Noviembre,22
P-0158,Proyector Apple Max,Electrónico,1,5145000,7,5145000,2003,Abril,24
P-0159,Licencia Office 365 Adobe Max,Software,55,350000,13,19250000,2004,Mayo,8
P-0160,NAS Server PNY Pro,Almacenamiento,2,3062000,3,6124000,2020,Noviembre,15
P-0161,Mouse Genius 4K,Periférico,57,176000,15,10032000,2005,Octubre,20
P-0162,Licencia Antivirus ESET Lite,Software,1,331000,2,331000,2025,Noviembre,10
P-0163,Silla Ergonómica OfficePlus V2,Mobiliario,0,1355000,14,0,2021,Abril,25
P-0164,Tóner HP Lexmark Elite,Impresión,40,158000,9,6320000,2013,Julio,24
P-0165,Mouse Logitech V2,Periférico,3,200000,14,600000,2019,Febrero,26
P-0166,Papel Fotográfico A4 Vention Pro,Accesorio,0,53000,8,0,2002,Septiembre,15
P-0167,Sensor Movimiento Hikvision Lite,Seguridad,43,115000,12,4945000,2012,Abril,8
P-0168,Mini PC Acer SE,Electrónico,21,2294000,6,48174000,2012,Noviembre,18
P-0169,Access Point D-Link Lite,Red,20,844000,4,16880000,2019,Marzo,8
P-0170,Mochila Laptop Anker 4K,Accesorio,19,155000,6,2945000,2014,Mayo,10
P-0171,Disco HDD PNY Ultra,Almacenamiento,24,151000,6,3624000,2016,Marzo,31
P-0172,Regulador Voltaje Sola Lite,Energía,31,161000,9,4991000,2008,Febrero,26
P-0173,Disco HDD PNY HD,Almacenamiento,28,428000,8,11984000,2017,Enero,26
P-0174,Licencia Antivirus Adobe V3,Software,37,242000,11,8954000,2000,Marzo,16
P-0175,Tablet Samsung V3,Electrónico,37,1768000,13,65416000,2021,Mayo,29
P-0176,Tarjeta SD Seagate Lite,Almacenamiento,14,39000,4,546000,2023,Octubre,27
P-0177,Licencia Antivirus Microsoft 4K,Software,10,345000,3,3450000,2003,Diciembre,7
P-0178,Laptop Lenovo Mini,Electrónico,0,4181000,4,0,2021,Octubre,12
P-0179,Cámara IP Bosch Max,Seguridad,18,918000,13,16524000,2017,Mayo,22
P-0180,Licencia Office 365 Autodesk 4K,Software,35,350000,7,12250000,2024,Agosto,31
P-0181,Funda Tablet Orico 4K,Accesorio,0,54000,11,0,2008,Febrero,19
P-0182,Escritorio Gaming DeskMate Slim,Mobiliario,18,1168000,5,21024000,2024,Agosto,15
P-0183,Cámara Web Razer Lite,Periférico,1,205000,13,205000,2020,Diciembre,15
P-0184,Tablet Samsung HD,Electrónico,19,914000,6,17366000,2010,Mayo,25
P-0185,Auriculares Asus SE,Electrónico,22,993000,11,21846000,2003,Diciembre,10
P-0186,Micrófono USB Corsair Plus,Periférico,58,492000,15,28536000,2009,Julio,25
P-0187,Impresora Inkjet Brother Slim,Impresión,3,917000,4,2751000,2013,Mayo,13
P-0188,Impresora 3D Brother Ultra,Impresión,9,6962000,2,62658000,2005,Septiembre,17
P-0189,Licencia Adobe CC Autodesk V2,Software,8,1200000,3,9600000,2014,Septiembre,17
P-0190,Regulador Voltaje Forza V2,Energía,5,302000,13,1510000,2000,Agosto,14
P-0191,Lápiz Digitalizador Genius 4K,Periférico,2,213000,3,426000,2023,Agosto,31
P-0192,UPS 2000VA Forza V3,Energía,8,1384000,2,11072000,2023,Febrero,6
P-0193,Tóner HP HP X,Impresión,15,306000,12,4590000,2008,Octubre,27
P-0194,Servidor Rack 1U Toshiba V3,Electrónico,33,13638000,15,450054000,2016,Enero,7
P-0195,Limpiador Pantalla AmazonBasics Basic,Accesorio,24,34000,5,816000,2024,Julio,26
P-0196,Impresora 3D Xerox HD,Impresión,67,7405000,14,496135000,2005,Diciembre,20
P-0197,Teclado Razer Slim,Periférico,0,401000,12,0,2016,Junio,5
P-0198,Cámara IP Honeywell Pro,Seguridad,9,873000,7,7857000,2003,Octubre,28
P-0199,Servidor Rack 1U Acer Max,Electrónico,2,17746000,8,35492000,2020,Mayo,9
P-0200,Cámara IP Axis Slim,Seguridad,27,654000,10,17658000,2009,Enero,2
P-0201,Sensor Movimiento Dahua Ultra,Seguridad,6,208000,14,1248000,2026,Febrero,21
P-0202,DVR 8 Canales Hikvision Lite,Seguridad,11,734000,4,8074000,2020,Abril,16
P-0203,Licencia Antivirus Norton V3,Software,31,465000,8,14415000,2016,Noviembre,28
P-0204,Proyector LG Pro,Electrónico,0,3966000,10,0,2019,Octubre,12
P-0205,Memoria USB Crucial X,Almacenamiento,38,73000,15,2774000,2006,Octubre,18
P-0206,Cámara Web HyperX Lite,Periférico,46,132000,11,6072000,2004,Enero,30
P-0207,Disco SSD Transcend Basic,Almacenamiento,56,264000,12,14784000,2011,Noviembre,4
P-0208,Papel Fotográfico A4 Cable Matters Mini,Accesorio,0,25000,4,0,2024,Mayo,23
P-0209,Tablet Acer Lite,Electrónico,1,1037000,3,1037000,2005,Octubre,28
P-0210,Tarjeta SD Lexar Max,Almacenamiento,17,168000,8,2856000,2017,Enero,17
P-0211,Licencia AutoCAD Kaspersky V2,Software,41,2800000,15,114800000,2024,Marzo,28
P-0212,Tóner HP HP V3,Impresión,12,179000,5,2148000,2016,Agosto,4
P-0213,Licencia Office 365 Autodesk Plus,Software,32,350000,10,11200000,2000,Septiembre,10
P-0214,Smartphone LG Ultra,Electrónico,10,1677000,3,16770000,2019,Noviembre,3
P-0215,Proyector Asus V2,Electrónico,5,1974000,2,9870000,2010,Agosto,25
P-0216,Teclado Havit Basic,Periférico,28,115000,15,3220000,2015,Mayo,6
P-0217,Regulador Voltaje CyberPower 4K,Energía,32,204000,7,6528000,2000,Marzo,9
P-0218,Licencia Adobe CC ESET Pro,Software,23,1200000,15,27600000,2003,Octubre,15
P-0219,Firewall Bosch HD,Seguridad,3,3229000,3,9687000,2011,Julio,29
P-0220,Teclado Logitech Max,Periférico,3,201000,11,603000,2026,Noviembre,17
P-0221,Impresora 3D HP Elite,Impresión,12,7576000,8,90912000,2025,Agosto,5
P-0222,Access Point Zyxel HD,Red,38,650000,10,24700000,2009,Febrero,27
P-0223,Patch Panel D-Link X,Red,55,142000,13,7810000,2007,Agosto,14
P-0224,Rack 12U Ubiquiti Lite,Red,8,713000,2,5704000,2001,Junio,3
P-0225,Router WiFi Cisco Lite,Red,0,909000,9,0,2007,Julio,31
P-0226,Proyector Samsung X,Electrónico,0,3015000,3,0,2018,Junio,30
P-0227,Silla Ergonómica DeskMate X,Mobiliario,10,1573000,13,15730000,2002,Junio,8
P-0228,Rack 12U Ubiquiti Lite,Red,55,1685000,11,92675000,2002,Noviembre,27
P-0229,Mouse A4Tech V3,Periférico,12,266000,5,3192000,2023,Febrero,15
P-0230,SSD NVMe SanDisk 4K,Almacenamiento,14,744000,8,10416000,2015,Marzo,29
P-0231,Disco SSD Toshiba Max,Almacenamiento,28,461000,7,12908000,2026,Junio,12
P-0232,Mini PC Apple Plus,Electrónico,0,1036000,15,0,2002,Julio,30
P-0233,Router WiFi Cisco V3,Red,24,936000,7,22464000,2024,Diciembre,1
P-0234,Smartphone Toshiba SE,Electrónico,20,3200000,7,64000000,2017,Agosto,14
P-0235,Memoria RAM Toshiba 4K,Almacenamiento,17,232000,6,3944000,2024,Mayo,2
P-0236,Cámara Web Havit SE,Periférico,11,228000,4,2508000,2004,Noviembre,13
P-0237,Licencia Office 365 Microsoft Max,Software,12,350000,3,4200000,2004,Julio,17
P-0238,Impresora Láser Kyocera Mini,Impresión,55,807000,11,44385000,2021,Septiembre,12
P-0239,Tóner HP HP Elite,Impresión,34,154000,13,5236000,2015,Enero,8
P-0240,Memoria RAM Samsung Elite,Almacenamiento,15,326000,11,4890000,2017,Agosto,13
P-0241,Auriculares HP Plus,Electrónico,29,590000,8,17110000,2005,Febrero,3
P-0242,Micrófono USB Trust Ultra,Periférico,25,549000,7,13725000,2008,Junio,12
P-0243,Regleta Eléctrica Belkin Slim,Accesorio,3,41000,4,123000,2016,Mayo,8
P-0244,Smartphone Dell Ultra,Electrónico,50,2714000,12,135700000,2019,Junio,1
P-0245,Switch 8 puertos Tenda Ultra,Red,36,440000,14,15840000,2013,Febrero,11
P-0246,Router WiFi Cisco Ultra,Red,45,874000,12,39330000,2006,Julio,30
P-0247,Base Laptop Ugreen Pro,Accesorio,11,111000,8,1221000,2017,Septiembre,4
P-0248,Laptop Asus Ultra,Electrónico,0,2365000,14,0,2024,Enero,27
P-0249,Impresora 3D Canon Max,Impresión,8,2482000,2,19856000,2023,Noviembre,23
P-0250,Gamepad Corsair Mini,Periférico,32,237000,10,7584000,2022,Septiembre,21
P-0251,Smart TV LG 4K,Electrónico,9,4239000,2,38151000,2006,Agosto,11
P-0252,Servidor Rack 1U Dell 4K,Electrónico,36,10629000,11,382644000,2022,Julio,26
P-0253,Cable DisplayPort Cable Matters Mini,Accesorio,8,59000,3,472000,2009,Enero,5
P-0254,Micrófono USB Havit Lite,Periférico,18,605000,13,10890000,2012,Abril,5
P-0255,Router WiFi Cisco Basic,Red,16,626000,11,10016000,2021,Septiembre,2
P-0256,NAS Server Crucial V3,Almacenamiento,2,2590000,5,5180000,2020,Junio,10
P-0257,Smart TV MSI V2,Electrónico,32,1667000,10,53344000,2011,Octubre,30
P-0258,Memoria RAM Seagate Basic,Almacenamiento,1,285000,4,285000,2014,Agosto,27
P-0259,Regleta Eléctrica Anker HD,Accesorio,2,118000,3,236000,2016,Noviembre,16
P-0260,Switch 24 puertos Zyxel V2,Red,50,2456000,11,122800000,2014,Agosto,23
P-0261,Disco SSD SanDisk Elite,Almacenamiento,13,650000,3,8450000,2003,Enero,27
P-0262,Papel Fotográfico A4 AmazonBasics Ultra,Accesorio,3,55000,2,165000,2007,Abril,5
P-0263,Papel Fotográfico A4 Orico Lite,Accesorio,6,20000,2,120000,2007,Mayo,25
P-0264,Smart TV Dell X,Electrónico,47,3633000,10,170751000,2002,Septiembre,23
P-0265,UPS 1200VA Sola Slim,Energía,45,522000,9,23490000,2010,Marzo,16
P-0266,Soporte Monitor Anker Max,Accesorio,12,229000,9,2748000,2000,Mayo,15
P-0267,Switch 8 puertos Cisco HD,Red,0,571000,13,0,2018,Agosto,20
P-0268,Soporte Monitor Anker Pro,Accesorio,41,138000,13,5658000,2017,Diciembre,1
P-0269,Rack 12U Netgear Max,Red,30,1413000,6,42390000,2007,Agosto,29
P-0270,Disco HDD Transcend Pro,Almacenamiento,6,473000,12,2838000,2018,Febrero,3
P-0271,Cámara Web A4Tech V2,Periférico,5,317000,6,1585000,2007,Enero,1
P-0272,Licencia Antivirus Adobe Max,Software,33,161000,11,5313000,2000,Noviembre,9
P-0273,Papel Fotográfico A4 Cable Matters V3,Accesorio,0,60000,8,0,2002,Octubre,7
P-0274,Cable DisplayPort Belkin Ultra,Accesorio,29,93000,8,2697000,2022,Abril,27
P-0275,Control de Acceso Dahua V2,Seguridad,9,1458000,3,13122000,2020,Diciembre,5
P-0276,Patch Panel Mikrotik Pro,Red,2,305000,6,610000,2001,Marzo,18
P-0277,Disco HDD Lexar Basic,Almacenamiento,2,265000,4,530000,2007,Mayo,31
P-0278,Licencia Office 365 Bitdefender Plus,Software,10,350000,12,3500000,2002,Septiembre,24
P-0279,Teclado Havit Mini,Periférico,3,158000,4,474000,2001,Enero,20
P-0280,Limpiador Pantalla Vention HD,Accesorio,39,22000,13,858000,2010,Septiembre,17
P-0281,Memoria USB Kingston Lite,Almacenamiento,20,103000,6,2060000,2002,Julio,14
P-0282,Impresora Láser Lexmark Basic,Impresión,67,1967000,14,131789000,2016,Febrero,4
P-0283,Lápiz Digitalizador Trust V2,Periférico,27,236000,9,6372000,2007,Abril,25
P-0284,Limpiador Pantalla Orico SE,Accesorio,20,45000,8,900000,2008,Febrero,10
P-0285,DVR 8 Canales Axis Elite,Seguridad,7,1092000,2,7644000,2021,Agosto,8
P-0286,UPS 1200VA APC V3,Energía,0,1008000,15,0,2015,Febrero,10
P-0287,Proyector Lenovo Ultra,Electrónico,0,5480000,10,0,2006,Noviembre,4
P-0288,Router WiFi Cisco Slim,Red,37,407000,15,15059000,2017,Marzo,2
P-0289,Mini PC HP Mini,Electrónico,23,959000,8,22057000,2004,Agosto,8
P-0290,Tarjeta SD WD Max,Almacenamiento,1,87000,2,87000,2023,Diciembre,14
P-0291,Sensor Movimiento Hanwha V2,Seguridad,0,170000,14,0,2018,Mayo,21
P-0292,Tablet Acer Slim,Electrónico,61,1767000,13,107787000,2018,Septiembre,26
P-0293,Cable DisplayPort Orico Lite,Accesorio,0,22000,3,0,2015,Diciembre,20
P-0294,Scanner Corsair SE,Periférico,18,1094000,11,19692000,2007,Mayo,15
P-0295,Limpiador Pantalla Ugreen Basic,Accesorio,0,31000,3,0,2025,Julio,3
P-0296,SSD NVMe Transcend Lite,Almacenamiento,10,344000,3,3440000,2015,Agosto,4
P-0297,Regleta Eléctrica Vention Pro,Accesorio,19,115000,10,2185000,2025,Agosto,27
P-0298,Cartucho Epson Brother Pro,Impresión,10,135000,5,1350000,2013,Abril,29
P-0299,Base Laptop Cable Matters Plus,Accesorio,0,189000,7,0,2006,Agosto,16
P-0300,Rack 12U TP-Link Mini,Red,7,1612000,2,11284000,2003,Septiembre,20
P-0301,Impresora 3D Xerox Pro,Impresión,0,4425000,14,0,2003,Marzo,18
P-0302,Impresora Inkjet Xerox V2,Impresión,62,426000,14,26412000,2021,Julio,1
